                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.86567,                 1.1475,                 1.1895,                0.53401,                0.38822,                0.41002,                0.31583,                  1.015,                 1.7661,                 1.3194,               0.002476,               0.002476,               0.002476
                     78,                0.86105,                 1.1417,                 1.1865,                0.59236,                0.37183,                0.41167,                0.32015,                0.99874,                 1.7469,                 1.3054,               0.002377,               0.002377,               0.002377
                     79,                0.85841,                 1.1433,                 1.1889,                0.56096,                 0.3947,                0.42102,                0.32804,                 1.0064,                 1.7555,                 1.3151,               0.002278,               0.002278,               0.002278
                     80,                0.85333,                 1.1158,                 1.1756,                0.57698,                0.39122,                0.42142,                0.32971,                 1.0045,                 1.7659,                  1.317,               0.002179,               0.002179,               0.002179
                     81,                0.85425,                 1.1099,                 1.1793,                0.57818,                  0.385,                0.42441,                0.32734,                 1.0087,                 1.7429,                 1.3159,                0.00208,                0.00208,                0.00208
                     82,                0.84837,                 1.1122,                 1.1785,                0.59381,                 0.3902,                0.41969,                0.32449,                 1.0027,                 1.7391,                 1.3116,               0.001981,               0.001981,               0.001981
                     83,                0.84542,                 1.0942,                 1.1755,                0.58045,                 0.3953,                0.42524,                0.33003,                 1.0009,                  1.734,                 1.3053,               0.001882,               0.001882,               0.001882
                     84,                0.84808,                 1.0904,                 1.1745,                0.58199,                 0.3898,                0.41693,                 0.3246,                 1.0076,                 1.7335,                  1.314,               0.001783,               0.001783,               0.001783
                     85,                0.83909,                 1.0774,                  1.169,                0.59248,                0.39763,                0.42815,                0.33436,                 1.0072,                 1.7469,                  1.312,               0.001684,               0.001684,               0.001684
                     86,                 0.8358,                  1.082,                 1.1724,                0.54806,                0.39417,                0.41733,                0.32553,                  1.005,                 1.7551,                 1.3078,               0.001585,               0.001585,               0.001585
                     87,                0.82004,                 1.0498,                 1.1615,                  0.617,                 0.3792,                0.42388,                0.32957,                 1.0048,                 1.7437,                 1.3152,               0.001486,               0.001486,               0.001486
                     88,                0.83456,                 1.0683,                 1.1719,                0.59303,                0.38386,                0.41923,                0.32609,                 1.0021,                 1.7486,                 1.3056,               0.001387,               0.001387,               0.001387
                     89,                0.83269,                   1.07,                 1.1701,                0.62739,                0.38037,                0.42897,                0.33532,                0.99957,                 1.7354,                 1.3093,               0.001288,               0.001288,               0.001288
                     90,                0.75695,                 1.0032,                 1.1234,                0.61595,                0.37015,                0.41546,                0.32642,                 1.0116,                 1.7604,                 1.3236,               0.001189,               0.001189,               0.001189
                     91,                 0.7484,                0.95773,                 1.1159,                0.59898,                0.39275,                0.42119,                0.32936,                 1.0066,                 1.7428,                 1.3145,                0.00109,                0.00109,                0.00109
                     92,                0.73487,                 0.9362,                 1.1116,                 0.5953,                 0.3798,                0.42195,                0.33105,                 1.0059,                 1.7481,                 1.3147,               0.000991,               0.000991,               0.000991
                     93,                0.73159,                 0.9158,                  1.106,                0.56477,                0.40223,                0.42463,                0.33448,                 1.0036,                 1.7602,                 1.3138,               0.000892,               0.000892,               0.000892
                     94,                0.73149,                0.92285,                 1.1024,                0.57004,                0.39145,                0.41878,                 0.3301,                 1.0106,                 1.7606,                 1.3203,               0.000793,               0.000793,               0.000793
                     95,                0.72606,                0.89576,                  1.099,                0.58623,                0.38476,                0.42236,                0.33239,                 1.0104,                 1.7717,                  1.319,               0.000694,               0.000694,               0.000694
                     96,                 0.7269,                0.89891,                 1.1065,                0.56589,                0.39078,                0.42109,                0.33142,                 1.0099,                 1.7709,                 1.3187,               0.000595,               0.000595,               0.000595
                     97,                0.71717,                0.87612,                 1.0963,                0.60499,                0.38188,                0.42149,                0.33235,                  1.004,                  1.765,                 1.3132,               0.000496,               0.000496,               0.000496
                     98,                0.71409,                0.86714,                 1.0912,                0.57791,                0.39594,                0.42555,                0.33417,                 1.0042,                 1.7685,                 1.3123,               0.000397,               0.000397,               0.000397
                     99,                0.70508,                0.85757,                 1.0826,                0.59687,                0.38446,                0.42208,                0.33098,                 1.0067,                 1.7793,                 1.3142,               0.000298,               0.000298,               0.000298
